question_statement,option_1,option_2,option_3,option_4,correct_option,image_url
"What is the mean of the numbers: 5, 10, 15, 20, 25?",10,15,20,12,2,
"What is the median of the numbers: 2, 4, 6, 8, 10?",4,6,8,10,2,
"What is the mode of the numbers: 3, 3, 6, 9, 6, 6?",3,6,9,No mode,2,
"The mean of 3, 7, and 11 is?",6,7,8,9,3,
"Find the median of: 1, 3, 3, 6, 7, 8, 9",3,6,7,8,2,
"What is the mode of: 12, 14, 16, 16, 18, 20, 16?",12,14,16,18,3,
"The mean of 1, 2, 3, 4, 5, 6 is?",3.5,3,4,5,1,
"Find the median: 9, 3, 6, 7, 2",6,7,3,9,1,
Which of these is affected by extreme values?,Mean,Median,Mode,None,1,
"If all numbers in a dataset are distinct, what is the mode?",Mean of all,Smallest number,Largest number,No mode,4,
"For a normal distribution, which is true?",Mean > Median,Mean < Median,Mean = Median,No relation,3,
"The mode of: 4, 5, 6, 6, 7, 8, 8, 8?",6,7,8,No mode,3,
"The mean of: 10, 20, 30, 40, 50?",20,30,40,50,2,
"If mean = median = mode, the data is?",Skewed left,Skewed right,Symmetric,Cannot say,3,
"What is the median of 3, 1, 9, 4, 7, 6, 2?",3,4,6,7,3,
